family,subset,outside,centered_rank,raw_mse_lower_bound,normalized_mse_lower_bound,squared_singular_values_raw,centered_matrix_raw_rational
and4,bcd,a,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""]]"
or4,a,bcd,1,0.0,0.0,[0.03125000000000001],"[[""1/16"", ""-1/16"", ""-1/16"", ""1/16"", ""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,b,acd,1,0.0,0.0,[0.03125000000000001],"[[""1/16"", ""-1/16"", ""-1/16"", ""1/16"", ""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,ab,cd,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,c,abd,1,0.0,0.0,[0.03125000000000001],"[[""1/16"", ""-1/16"", ""-1/16"", ""1/16"", ""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,ac,bd,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,bc,ad,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,abc,d,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""]]"
or4,d,abc,1,0.0,0.0,[0.03125000000000001],"[[""1/16"", ""-1/16"", ""-1/16"", ""1/16"", ""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,ad,bc,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,bd,ac,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,abd,c,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""]]"
or4,cd,ab,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,acd,b,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""]]"
or4,bcd,a,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""]]"
parity4,a,bcd,1,0.0,0.0,[0.25],"[[""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""-1/2""]]"
parity4,b,acd,1,0.0,0.0,[0.25],"[[""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""-1/2""]]"
parity4,ab,cd,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
